Observation ID,Common Name,Scientific Name,Family,Genus,Observed Length (m),Observed Weight (kg),Age Class,Sex,Date of Observation,Country/Region,Habitat Type,Conservation Status,Observer Name,Notes
434,West African Slender-snouted Crocodile,Mecistops cataphractus,Crocodylidae,Mecistops,2.93,178.8,Adult,Unknown,08-04-2022,Liberia,Swamps,Critically Endangered,Sandra Torres,Science different social child feel policy PM buy program explain.
368,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.78,696.0,Adult,Male,02-11-2011,Philippines,Estuaries,Least Concern,Joshua Wang,Rate game right pattern ahead compare form full.
84,Siamese Crocodile,Crocodylus siamensis,Crocodylidae,Crocodylus,1.25,36.3,Juvenile,Male,07-09-2015,Vietnam,Swamps,Critically Endangered,Sabrina Austin,Ago upon stop environment Congress reflect finally fund accept thank not husband center plan air second Democrat information.
62,Siamese Crocodile,Crocodylus siamensis,Crocodylidae,Crocodylus,2.56,136.2,Adult,Unknown,13-05-2015,Vietnam,Slow Rivers,Critically Endangered,Cynthia Cohen,Young section its better plant their kitchen really.
639,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylidae,Crocodylus,2.56,95.7,Subadult,Unknown,23-10-2022,Papua New Guinea,Swamps,Least Concern,Shane Williams,Writer decide break possible plan win foot watch this enough.
273,Nile Crocodile,Crocodylus niloticus,Crocodylidae,Crocodylus,5.18,848.2,Adult,Unknown,01-02-2007,Tanzania,Marshes,Least Concern,Lisa Haley,High someone box either rich agency might side.
286,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylidae,Crocodylus,2.29,83.8,Subadult,Unknown,01-08-2019,Papua New Guinea,Rivers,Least Concern,Shelby Thomas,Voice American seven discussion enough doctor protect military social hold truth thing always possible billion why.
361,West African Slender-snouted Crocodile,Mecistops cataphractus,Crocodylidae,Mecistops,2.87,168.0,Adult,Female,12-11-2016,Guinea,Shaded Forest Rivers,Critically Endangered,Marcus King,Marriage material space part management describe process law kind over according.
355,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,2.92,139.4,Adult,Unknown,07-05-2006,Cuba,Swamps,Critically Endangered,Brian Bryant,There early Mrs worker always.
457,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylidae,Crocodylus,3.25,147.9,Adult,Unknown,05-10-2021,Papua New Guinea,Rivers,Least Concern,Scott Bradley,Entire receive onto worry help hope occur space beyond push from me share fund.
279,American Crocodile,Crocodylus acutus,Crocodylidae,Crocodylus,1.78,96.7,Juvenile,Male,18-01-2014,Colombia,Coastal Lagoons,Vulnerable,Robert Gardner,Fear thought whole term possible whatever action themselves center among.
13,Siamese Crocodile,Crocodylus siamensis,Crocodylidae,Crocodylus,2.63,121.3,Subadult,Unknown,16-02-2015,Cambodia,Slow Rivers,Critically Endangered,Mark Perez,Teacher audience draw protect Democrat.
183,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.32,868.3,Adult,Female,24-09-2008,Malaysia,Estuaries,Least Concern,Charles Clark,South now mother others collection without fall of weight method.
369,Congo Dwarf Crocodile,Osteolaemus osborni,Crocodylidae,Osteolaemus,1.28,19.0,Adult,Female,20-11-2021,Congo (DRC),Forest Swamps,Data Deficient,Sydney Robles,Loss physical throughout Mr friend six including sea strong.
882,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.23,524.7,Subadult,Male,05-03-2017,Indonesia,Mangroves,Least Concern,Frank Griffith,A edge new find type party where arrive improve.
616,Philippine Crocodile,Crocodylus mindorensis,Crocodylidae,Crocodylus,2.3,78.4,Adult,Unknown,24-08-2009,Philippines,Rivers,Critically Endangered,Brandon Miller,War close arm sea never manage.
224,Morelet's Crocodile,Crocodylus moreletii,Crocodylidae,Crocodylus,2.78,100.4,Subadult,Male,08-06-2009,Guatemala,Rivers,Least Concern,Joshua Lopez,Hard knowledge enjoy let difficult environmental article sell.
573,West African Dwarf Crocodile,Osteolaemus tetraspis,Crocodylidae,Osteolaemus,1.01,10.0,Juvenile,Female,13-06-2018,Liberia,Forest Swamps,Vulnerable,Brandon Watkins,Door back right find return each.
971,Nile Crocodile,Crocodylus niloticus,Crocodylidae,Crocodylus,2.07,202.3,Juvenile,Unknown,01-11-2011,Tanzania,Lakes,Least Concern,Charles Bryant,Build PM weight society they usually company both right lay though reason.
654,West African Crocodile,Crocodylus suchus,Crocodylidae,Crocodylus,1.97,77.9,Juvenile,Male,03-02-2014,Senegal,Rivers,Least Concern,Ryan Harrell,Chair center each actually store indicate she.
546,Orinoco Crocodile,Crocodylus intermedius,Crocodylidae,Crocodylus,1.42,110.1,Juvenile,Female,04-04-2022,Venezuela,Flooded Savannas,Critically Endangered,Bradley Walton,Know goal once let perform international level.
583,Morelet's Crocodile,Crocodylus moreletii,Crocodylidae,Crocodylus,2.58,87.1,Subadult,Unknown,03-04-2006,Guatemala,Swamps,Least Concern,James Padilla,Main me book note defense cut seek speak.
634,Orinoco Crocodile,Crocodylus intermedius,Crocodylidae,Crocodylus,2.08,134.5,Juvenile,Male,29-04-2006,Venezuela,Large Rivers,Critically Endangered,Angela Payne,Feeling listen set move child campaign industry represent through service.
177,Congo Dwarf Crocodile,Osteolaemus osborni,Crocodylidae,Osteolaemus,1.04,13.6,Subadult,Male,30-10-2017,Congo (DRC),Slow Streams,Data Deficient,Laura Lloyd,Cost for leader energy television month police others particularly only.
666,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,3.25,174.0,Adult,Male,06-11-2011,Indonesia (Borneo),Estuarine Systems,Data Deficient,Benjamin Page,Election list eight theory practice cell buy notice always teacher husband tax true can.
674,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,2.39,94.9,Subadult,Male,23-07-2015,Malaysia (Borneo),Estuarine Systems,Data Deficient,Virginia Harding,Plant police official already second could recent.
586,West African Dwarf Crocodile,Osteolaemus tetraspis,Crocodylidae,Osteolaemus,1.09,11.0,Adult,Male,12-11-2007,Liberia,Small Streams,Vulnerable,Daniel Conner,Owner would seven usually list front investment he three yourself stage wait professor her arm.
874,Orinoco Crocodile,Crocodylus intermedius,Crocodylidae,Crocodylus,3.26,307.4,Adult,Female,03-11-2020,Venezuela,Large Rivers,Critically Endangered,Sarah Gonzalez,Method south central process sea response executive past economic economy.
394,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,0.79,48.4,Juvenile,Male,28-01-2020,Cuba,Freshwater Wetlands,Critically Endangered,Amanda Hardin,What it truth teach friend environment better pressure hospital significant see same open.
164,West African Dwarf Crocodile,Osteolaemus tetraspis,Crocodylidae,Osteolaemus,0.96,10.8,Subadult,Unknown,10-04-2008,Guinea,Small Streams,Vulnerable,Michelle Miller,Here six child hope guess before wall know seven bill beautiful.
249,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,3.55,405.8,Juvenile,Unknown,09-12-2014,Indonesia,Tidal Rivers,Least Concern,Autumn Wilson,Marriage participant sing story win group important civil.
635,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,0.91,29.3,Juvenile,Male,19-02-2018,Indonesia (Borneo),Estuarine Systems,Data Deficient,Kristina Reed,Large response treat attack industry use mean against out recent can animal not.
886,West African Crocodile,Crocodylus suchus,Crocodylidae,Crocodylus,2.26,102.4,Adult,Female,12-08-2007,Mauritania,Oases,Least Concern,Kevin Walter,Serve different billion young owner out guy thank professor student white instead.
670,Orinoco Crocodile,Crocodylus intermedius,Crocodylidae,Crocodylus,3.98,357.4,Adult,Unknown,04-12-2012,Venezuela,Flooded Savannas,Critically Endangered,Kyle James,Smile without degree deep age serve institution edge compare center event bank them.
376,Nile Crocodile,Crocodylus niloticus,Crocodylidae,Crocodylus,4.1,513.9,Adult,Female,15-11-2015,Sudan,Rivers,Least Concern,Gregory Flores,Wall sound off commercial find throughout.
413,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,2.99,134.5,Adult,Male,01-08-2021,Malaysia (Borneo),Rivers,Data Deficient,Steven Jones,Machine three certain until lawyer hold carry rest place wish dark camera realize arrive carry surface learn.
75,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,2.63,107.9,Adult,Unknown,13-12-2007,Cuba,Swamps,Critically Endangered,William Buchanan,Attention share debate democratic thank forget challenge too able.
114,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylidae,Crocodylus,1.77,38.1,Juvenile,Unknown,16-03-2017,Australia,Billabongs,Least Concern,Donna Evans,Republican until point soldier meeting building cut catch so ago.
599,Philippine Crocodile,Crocodylus mindorensis,Crocodylidae,Crocodylus,1.16,25.5,Juvenile,Unknown,05-08-2021,Philippines,Freshwater Marshes,Critically Endangered,Michael Lee,Hour capital sell oil source sure report leader clear case receive fact certain.
962,Orinoco Crocodile,Crocodylus intermedius,Crocodylidae,Crocodylus,4.5,581.0,Adult,Male,07-02-2012,Colombia,Large Rivers,Critically Endangered,Greg Jones,Nation modern politics how choice state sport.
391,West African Crocodile,Crocodylus suchus,Crocodylidae,Crocodylus,0.9,37.1,Juvenile,Male,31-05-2014,Niger,Lakes,Least Concern,Christopher Vargas,Process have compare site door Congress month almost worker whose.
105,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,2.93,147.4,Adult,Unknown,06-10-2020,Cuba,Swamps,Critically Endangered,Amanda Hughes,Effect administration small general run pick sign same forward and national spend compare single.
115,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.68,692.4,Adult,Unknown,28-06-2021,Indonesia,Mangroves,Least Concern,Jackie Lara,Candidate this assume huge response long improve.
418,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,3.44,197.1,Adult,Unknown,21-11-2008,Malaysia (Borneo),Rivers,Data Deficient,Andrew Simmons,Recently partner offer debate range per friend usually.
526,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,1.95,69.2,Juvenile,Female,30-12-2012,Cuba,Swamps,Critically Endangered,Samantha Howard,Stuff speech worker by have cover act sea serve quite.
458,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,1.94,65.4,Juvenile,Male,27-08-2011,Cuba,Swamps,Critically Endangered,Heidi Graham,Player wind away sure degree enter father of source person when response official option event note most.
410,Morelet's Crocodile,Crocodylus moreletii,Crocodylidae,Crocodylus,1.88,60.1,Juvenile,Female,17-10-2013,Mexico,Lagoons,Least Concern,Christine Brown,Someone rate why listen computer prove amount population.
93,American Crocodile,Crocodylus acutus,Crocodylidae,Crocodylus,3.88,273.6,Adult,Unknown,17-05-2018,Mexico,Coastal Lagoons,Vulnerable,Larry Mason,Late specific study word base.
931,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,3.14,173.0,Adult,Unknown,26-10-2012,Cuba,Swamps,Critically Endangered,Christina Hernandez,Film at perhaps firm toward land full compare field.
90,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylidae,Crocodylus,2.45,75.8,Subadult,Unknown,09-10-2009,Papua New Guinea,Rivers,Least Concern,Heather Mullen,Door chair culture own set pretty concern.
337,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,1.94,71.6,Juvenile,Unknown,28-02-2021,Cuba,Swamps,Critically Endangered,Heather Chavez,A alone expect administration career three according worker Democrat fire sign.
989,Siamese Crocodile,Crocodylus siamensis,Crocodylidae,Crocodylus,3.04,163.6,Adult,Female,17-06-2023,Thailand,Slow Rivers,Critically Endangered,Robert Jordan DDS,Play blood list everything newspaper institution assume enjoy we group husband try trade then.
922,Mugger Crocodile (Marsh Crocodile),Crocodylus palustris,Crocodylidae,Crocodylus,2.97,174.6,Subadult,Male,02-08-2015,Sri Lanka,Lakes,Vulnerable,Victor Brown,Improve move peace college usually have century.
934,West African Dwarf Crocodile,Osteolaemus tetraspis,Crocodylidae,Osteolaemus,1.3,17.0,Adult,Female,24-04-2014,Sierra Leone,Forest Swamps,Vulnerable,Christopher Smith,Us once consider thus wife water note.
606,West African Dwarf Crocodile,Osteolaemus tetraspis,Crocodylidae,Osteolaemus,0.97,11.3,Subadult,Male,01-12-2007,Sierra Leone,Small Streams,Vulnerable,Tracie Merritt,Television receive accept language fire always offer present because.
594,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.99,779.4,Subadult,Unknown,17-10-2018,Australia,Mangroves,Least Concern,Brian Miller,Future or could walk of camera finish herself say.
612,Philippine Crocodile,Crocodylus mindorensis,Crocodylidae,Crocodylus,2.31,79.3,Adult,Female,08-05-2015,Philippines,Freshwater Marshes,Critically Endangered,Brandon Blankenship,Chair something event better woman develop weight situation but money then open southern.
95,Mugger Crocodile (Marsh Crocodile),Crocodylus palustris,Crocodylidae,Crocodylus,1.21,54.8,Juvenile,Male,27-02-2016,Pakistan,Rivers,Vulnerable,Amy Mccoy,At behind question exist rich prevent trade their.
12,Morelet's Crocodile,Crocodylus moreletii,Crocodylidae,Crocodylus,1.84,60.7,Adult,Male,19-10-2019,Belize,Lagoons,Least Concern,Jennifer Powers,Just military building different full open discover detail.
397,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,1.66,51.4,Juvenile,Unknown,01-03-2016,Malaysia (Borneo),Rivers,Data Deficient,Stephanie Dominguez,Far produce away law yet show realize property.
534,West African Slender-snouted Crocodile,Mecistops cataphractus,Crocodylidae,Mecistops,2.71,124.4,Adult,Male,25-09-2016,Côte d'Ivoire,Swamps,Critically Endangered,Samuel Morales,Sell do outside process action himself somebody they.
44,Morelet's Crocodile,Crocodylus moreletii,Crocodylidae,Crocodylus,2.33,74.0,Adult,Unknown,10-02-2021,Mexico,Swamps,Least Concern,Peter Vaughn DDS,Large admit family identify during professional hard network gas you nearly goal.
43,Siamese Crocodile,Crocodylus siamensis,Crocodylidae,Crocodylus,0.29,33.2,Hatchling,Unknown,02-06-2008,Thailand,Slow Rivers,Critically Endangered,Laura Barnett,Agreement surface consider deep something future they red everybody act way beat result.
330,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,2.23,83.7,Adult,Male,09-06-2017,Indonesia (Borneo),Estuarine Systems,Data Deficient,Mark Gray,Third people hair per fly as whose standard couple.
168,Nile Crocodile,Crocodylus niloticus,Crocodylidae,Crocodylus,3.85,479.0,Subadult,Female,31-01-2023,Uganda,Rivers,Least Concern,Jessica Jordan,Carry fly water cut fire who why fact reason.
498,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylidae,Crocodylus,3.22,149.7,Subadult,Male,31-10-2019,Papua New Guinea,Freshwater Wetlands,Least Concern,Ashlee Perry,Field decide another adult thing ground city still thus allow as.
877,Mugger Crocodile (Marsh Crocodile),Crocodylus palustris,Crocodylidae,Crocodylus,3.07,157.5,Adult,Female,19-05-2008,Nepal,Reservoirs,Vulnerable,Dr. Cody Kane,If yeah law enjoy key seat pretty method front you control game the sign lead.
598,Mugger Crocodile (Marsh Crocodile),Crocodylus palustris,Crocodylidae,Crocodylus,2.78,121.0,Subadult,Female,10-11-2005,Iran (historic),Rivers,Vulnerable,Mr. William Hopkins,Yard nature front question wrong serious hospital month.
757,West African Slender-snouted Crocodile,Mecistops cataphractus,Crocodylidae,Mecistops,0.53,40.3,Hatchling,Female,28-08-2007,Ghana,Shaded Forest Rivers,Critically Endangered,Sandra Becker,Politics then central force small friend impact.
101,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.86,760.5,Adult,Unknown,16-08-2013,Papua New Guinea,Estuaries,Least Concern,David Davidson,Never bill suffer surface expect several evening town challenge join watch develop later.
427,Orinoco Crocodile,Crocodylus intermedius,Crocodylidae,Crocodylus,2.88,197.6,Subadult,Male,15-10-2023,Colombia,Flooded Savannas,Critically Endangered,Bruce Chaney,Call employee continue none alone first gas health music class feeling turn identify material certainly.
179,Morelet's Crocodile,Crocodylus moreletii,Crocodylidae,Crocodylus,2.79,123.4,Subadult,Unknown,21-01-2008,Belize,Rivers,Least Concern,Mr. Thomas Arias,Never majority cell fire late approach grow.
445,Congo Dwarf Crocodile,Osteolaemus osborni,Crocodylidae,Osteolaemus,1.06,11.2,Subadult,Female,08-10-2008,Central African Republic,Forest Swamps,Data Deficient,Annette Lane,More respond who commercial senior above rise.
417,West African Crocodile,Crocodylus suchus,Crocodylidae,Crocodylus,0.48,35.1,Hatchling,Male,26-04-2024,Niger,Rivers,Least Concern,Lauren Bray,Sign them if smile have less plant team audience throw.
871,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.48,918.4,Adult,Female,21-04-2018,Australia,Mangroves,Least Concern,Christopher Thompson,Whole score special consider these body class marriage fill personal training enter fly situation former threat alone.
883,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylidae,Crocodylus,3.03,118.1,Adult,Unknown,27-07-2021,Papua New Guinea,Freshwater Wetlands,Least Concern,Rodney Duran,Hospital city industry option eat go difficult.
681,Morelet's Crocodile,Crocodylus moreletii,Crocodylidae,Crocodylus,1.05,35.0,Juvenile,Unknown,31-07-2014,Guatemala,Swamps,Least Concern,Tyler Haney,New hot pattern hotel appear use investment vote hospital.
178,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,2.75,114.5,Subadult,Male,03-03-2021,Cuba,Freshwater Wetlands,Critically Endangered,Ryan Williamson,Try opportunity public finish draw bring health center home others offer institution.
396,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylidae,Crocodylus,2.6,89.9,Adult,Unknown,12-11-2016,Papua New Guinea,Swamps,Least Concern,Darlene Johnson,Begin voice prevent structure wear point remain build task candidate prevent tonight not.
912,Philippine Crocodile,Crocodylus mindorensis,Crocodylidae,Crocodylus,2.34,79.4,Adult,Female,01-06-2015,Philippines,Ponds,Critically Endangered,Nancy Ferguson,Whom his goal.
794,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,2.25,69.6,Subadult,Unknown,20-01-2010,Malaysia (Borneo),Estuarine Systems,Data Deficient,Nicholas Richardson,Various night political dark or bill describe condition nor camera mission population him offer.
961,West African Slender-snouted Crocodile,Mecistops cataphractus,Crocodylidae,Mecistops,1.48,63.6,Juvenile,Unknown,21-03-2012,Nigeria,Swamps,Critically Endangered,Amanda Campbell,Series always memory reveal require market until cause bill clear research begin growth ground.
685,West African Slender-snouted Crocodile,Mecistops cataphractus,Crocodylidae,Mecistops,2.58,115.4,Adult,Male,14-11-2007,Sierra Leone,Swamps,Critically Endangered,Ashley Campbell,Behavior management guess stuff hospital make against available where baby reach.
384,Central African Slender-snouted Crocodile,Mecistops leptorhynchus,Crocodylidae,Mecistops,2.72,155.3,Adult,Female,29-12-2009,Congo Basin Countries,Forest Rivers,Endangered,Jean Lane,Day theory feel some quickly truth view.
957,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylidae,Crocodylus,1.93,61.7,Juvenile,Unknown,10-08-2018,Papua New Guinea,Rivers,Least Concern,Miss Kimberly Holloway,Whatever our build safe save.
752,Morelet's Crocodile,Crocodylus moreletii,Crocodylidae,Crocodylus,2.66,120.3,Subadult,Unknown,03-05-2015,Mexico,Swamps,Least Concern,Bonnie Smith,Beat economic myself front house past gun process site special.
258,Mugger Crocodile (Marsh Crocodile),Crocodylus palustris,Crocodylidae,Crocodylus,3.53,233.8,Adult,Unknown,28-07-2005,Pakistan,Reservoirs,Vulnerable,Jonathan Valdez,Idea along near stay social white point.
539,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,2.41,93.5,Subadult,Male,13-08-2007,Cuba,Freshwater Wetlands,Critically Endangered,Thomas Fowler DDS,Perhaps dream same weight former science day contain wrong guy available air boy fact create.
336,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,0.87,30.9,Juvenile,Male,16-06-2017,Malaysia (Borneo),Estuarine Systems,Data Deficient,Harold Edwards,Suddenly include plan step food drive nation heart nearly.
16,Morelet's Crocodile,Crocodylus moreletii,Crocodylidae,Crocodylus,2.0,67.9,Adult,Unknown,18-03-2007,Mexico,Rivers,Least Concern,Donald Wright,Kitchen technology nearly anything yourself structure why.
325,Orinoco Crocodile,Crocodylus intermedius,Crocodylidae,Crocodylus,2.8,218.0,Subadult,Unknown,31-08-2020,Venezuela,Large Rivers,Critically Endangered,Jessica Rojas,Current same behind.
759,Orinoco Crocodile,Crocodylus intermedius,Crocodylidae,Crocodylus,3.9,413.2,Adult,Male,04-12-2009,Venezuela,Large Rivers,Critically Endangered,Phillip Banks,When yeah not young.
223,West African Crocodile,Crocodylus suchus,Crocodylidae,Crocodylus,2.4,111.4,Subadult,Male,15-02-2007,Chad,Rivers,Least Concern,Jeffrey Phillips,Outside current agent color factor bank such final however major produce.
180,Central African Slender-snouted Crocodile,Mecistops leptorhynchus,Crocodylidae,Mecistops,1.12,41.7,Juvenile,Female,10-03-2013,Cameroon,Forest Rivers,Endangered,Chad Ochoa,Measure manager range indeed style major bar air set factor ever Mrs collection leader score she near both.
984,Congo Dwarf Crocodile,Osteolaemus osborni,Crocodylidae,Osteolaemus,0.6,6.8,Juvenile,Male,20-03-2007,Central African Republic,Forest Swamps,Data Deficient,Julie Morris,Since take describe improve act campaign television sit very know maybe.
23,Congo Dwarf Crocodile,Osteolaemus osborni,Crocodylidae,Osteolaemus,1.77,36.0,Adult,Male,07-12-2010,Congo (DRC),Forest Swamps,Data Deficient,Mark Baker,Economy traditional anything plant stop analysis four capital woman claim kind relationship night born war real chance.
357,Central African Slender-snouted Crocodile,Mecistops leptorhynchus,Crocodylidae,Mecistops,2.64,129.9,Adult,Female,05-06-2021,Gabon,Swamps,Endangered,Louis Brown,Tough less position bed may conference one thus national hotel food agent law to time think bed.
667,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylidae,Crocodylus,3.38,161.3,Adult,Male,04-09-2021,Indonesia (Papua),Rivers,Least Concern,Ryan Crane,Base including late theory yard amount within arm so record night choice black.
862,Philippine Crocodile,Crocodylus mindorensis,Crocodylidae,Crocodylus,1.94,51.7,Subadult,Female,29-09-2017,Philippines,Ponds,Critically Endangered,Sarah Miller,Particular year sell short issue everybody later thing school practice authority possible fund month realize.
341,American Crocodile,Crocodylus acutus,Crocodylidae,Crocodylus,3.05,188.0,Adult,Female,01-02-2011,Colombia,Mangroves,Vulnerable,Connie Williams,Wife send offer bed it skill challenge from live seat nature energy huge its recently.
432,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylidae,Crocodylus,1.1,32.6,Juvenile,Male,23-11-2018,Papua New Guinea,Lakes,Least Concern,Robert Waller,Rock increase structure our century field write moment friend value.
552,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylidae,Crocodylus,2.72,96.3,Adult,Male,30-03-2025,Papua New Guinea,Rivers,Least Concern,Richard Medina,Only nothing allow cause with yes nothing sometimes trial off hospital high we as.
834,West African Slender-snouted Crocodile,Mecistops cataphractus,Crocodylidae,Mecistops,3.22,187.6,Adult,Male,03-12-2011,Côte d'Ivoire,Swamps,Critically Endangered,Ms. Monique Dougherty MD,Coach personal range weight age over smile hope.
204,Mugger Crocodile (Marsh Crocodile),Crocodylus palustris,Crocodylidae,Crocodylus,2.25,104.2,Juvenile,Male,23-05-2019,Sri Lanka,Lakes,Vulnerable,Judy Adkins,Believe card star avoid nothing itself who door end fire song red save fish evening avoid dark sister.
631,Nile Crocodile,Crocodylus niloticus,Crocodylidae,Crocodylus,3.39,381.1,Adult,Male,18-08-2016,Uganda,Reservoirs,Least Concern,Michelle Wright,Consider a produce focus experience.
94,Orinoco Crocodile,Crocodylus intermedius,Crocodylidae,Crocodylus,1.96,133.2,Juvenile,Male,10-05-2011,Colombia,Flooded Savannas,Critically Endangered,Amanda Zimmerman,Model particular hair truth hold simple.
559,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,2.52,100.7,Subadult,Female,15-11-2014,Malaysia (Borneo),Estuarine Systems,Data Deficient,Claudia Snyder,Building hard sense mean single improve close debate and ago.
69,American Crocodile,Crocodylus acutus,Crocodylidae,Crocodylus,3.66,262.6,Adult,Unknown,10-04-2024,Venezuela,Brackish Rivers,Vulnerable,Holly Shaw,Store either station loss southern second full boy while cell.
623,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.44,509.4,Subadult,Female,28-07-2006,India,Estuaries,Least Concern,Steven Herrera,Board just style class government its grow.
285,Siamese Crocodile,Crocodylus siamensis,Crocodylidae,Crocodylus,2.76,125.2,Adult,Unknown,28-06-2016,Laos,Oxbow Lakes,Critically Endangered,Steven Lawrence,Card may bed hair action draw who word range serious cell city not.
845,Siamese Crocodile,Crocodylus siamensis,Crocodylidae,Crocodylus,2.52,108.4,Adult,Female,08-05-2015,Vietnam,Oxbow Lakes,Critically Endangered,Tyrone Bradford,Their wife argue note easy eight school ready practice each ready lay American participant necessary before couple.
435,American Crocodile,Crocodylus acutus,Crocodylidae,Crocodylus,3.36,196.1,Adult,Male,19-11-2014,Mexico,Brackish Rivers,Vulnerable,Terry Newman,Budget everyone yes at seat.
154,Nile Crocodile,Crocodylus niloticus,Crocodylidae,Crocodylus,3.13,362.6,Subadult,Male,11-12-2025,South Africa,Rivers,Least Concern,Katherine Cummings,Leave run goal cause national contain threat wrong whatever model stuff avoid.
76,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,2.54,103.3,Adult,Male,07-10-2010,Malaysia (Borneo),Estuarine Systems,Data Deficient,Brianna Anderson,Sometimes body term capital group small open administration enter camera.
731,West African Slender-snouted Crocodile,Mecistops cataphractus,Crocodylidae,Mecistops,2.43,107.8,Adult,Female,06-04-2014,Nigeria,Swamps,Critically Endangered,Paul Alexander,Paper subject type fly recognize help.
447,Central African Slender-snouted Crocodile,Mecistops leptorhynchus,Crocodylidae,Mecistops,2.55,114.9,Adult,Unknown,07-07-2020,Cameroon,Forest Rivers,Endangered,Michele Hawkins,Bank management his lead save reach subject difficult.
189,Morelet's Crocodile,Crocodylus moreletii,Crocodylidae,Crocodylus,2.18,75.2,Adult,Unknown,25-07-2007,Belize,Rivers,Least Concern,Jill Smith,Stage write institution car audience him room bill finish thing case similar send.
272,West African Slender-snouted Crocodile,Mecistops cataphractus,Crocodylidae,Mecistops,2.08,82.8,Adult,Female,26-07-2021,Guinea,Shaded Forest Rivers,Critically Endangered,Edward Clements,Most you statement wonder across protect knowledge toward.
237,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,2.94,139.7,Adult,Unknown,03-01-2022,Indonesia (Borneo),Rivers,Data Deficient,Sara Hoffman,Participant fear blue as write political technology end represent throughout federal change she tonight south sort outside.
488,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,0.93,36.6,Juvenile,Unknown,20-06-2011,Indonesia (Borneo),Rivers,Data Deficient,Tara Rose,Base life bad soon feel worker range feel eat into notice necessary true.
118,West African Crocodile,Crocodylus suchus,Crocodylidae,Crocodylus,2.9,158.4,Subadult,Male,23-04-2021,Chad,Rivers,Least Concern,Caroline David,Commercial person top front under American tell ball we.
944,Orinoco Crocodile,Crocodylus intermedius,Crocodylidae,Crocodylus,2.75,204.8,Adult,Male,07-02-2019,Colombia,Flooded Savannas,Critically Endangered,Valerie Graves,Could support series direction house structure.
513,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylidae,Crocodylus,2.01,60.8,Adult,Unknown,12-02-2012,Australia,Freshwater Rivers,Least Concern,John Collins,Too sit little result paper seven measure leave last last term.
826,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,3.48,220.9,Adult,Male,11-09-2021,Indonesia (Borneo),Rivers,Data Deficient,Susan Gregory,Above debate site price ever leg so play best different.
